Response ID	Frequency of Teeth Cleaning	Single Status
612	Every six months	Single
616	Every six months	Not Single
625	Every other year	Not Single
626	Every six months	Not Single
627	Every other year	Single
628	Every year	Not Single
631	Every six months	Single
633	Every six months	Not Single
635	Less than every other year	Not Single
637	Every six months	Not Single
639	Less than every other year	Not Single
645	Less than every other year	Not Single
646	Every six months	Not Single
649	Every other year	Not Single
658	Less than every other year	Not Single
660	Every six months	Not Single
661	Every six months	Single
663	Every six months	Not Single
664	Every year	Not Single
667	Every year	Not Single
668	Every six months	Single
672	Every six months	Not Single
673	Every year	Not Single
675	Every six months	Not Single
677	Less than every other year	Single
678	Every six months	Not Single
679	Every year	Single
683	Every six months	Not Single
684	Less than every other year	Not Single
691	Every other year	Single
693	Every year	Not Single
694	Every six months	Not Single
695	Every other year	Not Single
696	Every six months	Not Single
697	Every six months	Not Single
698	Every six months	Not Single
699	Every six months	Not Single
700	Every year	Not Single
705	Less than every other year	Single
708	Every six months	Not Single
710	Every six months	Not Single
715	Every six months	Not Single
716	Every other year	Not Single
717	Every six months	Not Single
718	Every six months	Not Single
721	Every six months	Single
722	Every six months	Single
728	Every six months	Single
730	Every other year	Not Single
734	Every other year	Single
735	Every six months	Not Single
742	Every other year	Not Single
746	Every six months	Single
747	Every other year	Not Single
765	Every other year	Single
767	Every six months	Single
773	Less than every other year	Not Single
775	Every other year	Single
781	Every six months	Single
790	Every six months	Not Single
793	Every six months	Not Single
795	Every year	Single
796	Every six months	Not Single
800	Every six months	Single
801	Every six months	Not Single
826	Every year	Single
835	Every six months	Single
836	Every six months	Single
842	Every year	Single
853	Every year	Single
866	Every other year	Not Single
875	Every six months	Single
877	Less than every other year	Single
878	Every six months	Not Single
896	Every six months	Not Single
914	Every year	Single
920	Every year	Not Single
925	Less than every other year	Single
927	Every six months	Single
932	Less than every other year	Single
934	Every six months	Single
960	Every year	Not Single
965	Every six months	Single
971	Every six months	Not Single
976	Every six months	Not Single
980	Every year	Single
981	Every six months	Single
984	Every six months	Not Single
995	Every six months	Single
997	Every six months	Single
999	Less than every other year	Not Single
1000	Every six months	Not Single
1002	Every six months	Single
1003	Less than every other year	Not Single
1007	Every six months	Not Single
1008	Every six months	Not Single
1014	Less than every other year	Not Single
1018	Every six months	Single
1020	Every six months	Not Single
1021	Every six months	Not Single
1022	Every six months	Not Single
1025	Every six months	Not Single
1027	Every year	Not Single
1034	Every six months	Not Single
1035	Less than every other year	Single
1036	Every year	Single
1037	Every six months	Not Single
1040	Less than every other year	Not Single
1049	Less than every other year	Not Single
1051	Every six months	Single
1054	Every year	Not Single
1056	Every six months	Not Single
1060	Every year	Single
1063	Every six months	Not Single
1076	Every six months	Single
1077	Every year	Single
1081	Less than every other year	Not Single
1083	Less than every other year	Single
1085	Less than every other year	Not Single
1087	Less than every other year	Not Single
1097	Every six months	Not Single
1098	Less than every other year	Not Single
1112	Every other year	Not Single
1116	Every six months	Not Single
1133	Every year	Single
1139	Every six months	Not Single
1153	Every other year	Not Single
1168	Every year	Not Single
1178	Every other year	Single
1184	Every other year	Single
1189	Every six months	Single
1222	Every year	Single
1224	Every six months	Not Single
1254	Every year	Single
1279	Every year	Single
1282	Less than every other year	Not Single
1290	Every six months	Single
1291	Every six months	Single
1297	Every six months	Single
1306	Every six months	Single
1331	Every year	Not Single
1345	Every six months	Single
1354	Every year	Single
1356	Every year	Single
1359	Every six months	Single
1367	Less than every other year	Not Single
1370	Every year	Not Single
1371	Every six months	Single
1372	Every six months	Not Single
1377	Every six months	Not Single
1381	Every year	Not Single
1405	Every six months	Single
1413	Every year	Not Single
1425	Less than every other year	Not Single
1443	Every six months	Not Single
1447	Every six months	Single
1449	Every other year	Not Single
1450	Every year	Single
1464	Every six months	Single
1475	Every year	Not Single
1485	Every year	Not Single
1500	Every six months	Not Single
1504	Less than every other year	Single
1507	Every year	Single
1520	Every year	Not Single
1522	Every six months	Not Single
1526	Less than every other year	Single
1550	Every six months	Single
